page,xmin,ymin,xmax,ymax,text,is_upper,is_bold,span_font,font_size
1,651.0841064453125,565.8269653320312,818.745361328125,575.7899169921875,"| but that his ""professional obligation |",False,False,TimesNewRomanPSMT,9.0
1,651.5899047851562,576.1270141601562,820.4480590820312,586.0899658203125,"I over personal desires won."" At the j I",False,False,TimesNewRomanPSMT,9.0
1,831.3399047851562,433.2005310058594,951.7119140625,444.82403564453125,FRIDAY -- SATURDAY,True,True,TimesNewRomanPS-BoldMT,10.5
1,832.0899047851562,443.8860168457031,935.6890869140625,453.8490295410156,Friday Shows--7:00-9:00,False,True,TimesNewRomanPS-BoldMT,9.0
1,882.9389038085938,459.0360412597656,906.2758178710938,468.9990539550781,Wfamrif,False,False,TimesNewRomanPSMT,9.0
1,869.8038940429688,469.9300231933594,918.5693969726562,478.155029296875,GRA N D PRIZ E,True,False,HelveticaLTMM_1_1000,7.0
1,870.3214111328125,485.0290222167969,894.723388671875,493.2540283203125,CA N N E,True,False,HelveticaLTMM_1_1000,7.0
1,895.2869262695312,485.0290222167969,898.85693359375,493.2540283203125,S,True,False,HelveticaLTMM_1_1000,6.704180717468262
1,899.0424194335938,485.0290222167969,920.6864013671875,493.2540283203125,FILM,True,False,HelveticaLTMM_1_1000,7.0
1,878.0214233398438,494.4290466308594,885.5744018554688,502.654052734375,FE,True,False,HelveticaLTMM_1_1000,7.0
1,886.2918701171875,494.4290466308594,889.8618774414062,502.654052734375,S,True,False,HelveticaLTMM_1_1000,6.704180717468262
1,890.58642578125,494.4290466308594,914.0014038085938,502.654052734375,T IV A L,True,False,HelveticaLTMM_1_1000,7.0
1,887.288818359375,502.4320373535156,902.5728149414062,512.1920166015625,1959,False,False,Impact,8.0
1,866.3897705078125,514.9305419921875,924.096435546875,524.3400268554688,EASTMANCOLOR,True,False,TimesNewRomanPSMT,8.5
1,856.539794921875,523.6079711914062,932.7518920898438,530.25,"A lopert Film*, Inc. R<<l<<o*e",False,False,TimesNewRomanPSMT,6.0
1,833.289794921875,542.8975830078125,945.4507446289062,554.5210571289062,SUNDAY -- MONDAY,True,True,TimesNewRomanPS-BoldMT,10.5
1,1012.5399780273438,441.7340393066406,1052.94091796875,451.6970520019531,Saturday-,False,True,TimesNewRomanPS-BoldMT,9.0
1,1065.8389892578125,430.3484802246094,1119.05322265625,441.97198486328125,MAY 20-21,True,True,TimesNewRomanPS-BoldMT,10.5
1,1055.989013671875,444.178955078125,1057.3740234375,450.053955078125,-,False,False,HelveticaLTMM_1_667,5.0
1,1057.3740234375,440.803955078125,1063.95703125,450.4599609375,6,False,False,Tahoma,8.0
1,1064.45703125,444.178955078125,1065.70703125,450.053955078125,:,False,False,HelveticaLTMM_1_1000,5.0
1,1065.70703125,440.803955078125,1076.0589599609375,450.4599609375,00,False,False,Tahoma,8.0
1,1076.3890380859375,444.178955078125,1077.7740478515625,450.053955078125,-,False,False,HelveticaLTMM_1_667,5.0
1,1077.7740478515625,440.803955078125,1083.8560791015625,450.4599609375,8,False,False,Tahoma,8.0
